"Forename","Surname","Email","University","Course"
"Koby","Dare","Astrid@salma.com","Turku University","History And Politics"
"Kelli","Dicki","Ivory@ashtyn.me","Winthrop University","Accountancy & Business Law"
"Golden","Carter","Ari@flo.tv","Management Development Institute","LLB"
"Emory","Koch","Gene_Hilpert@laurie.io","Aalto University","Law"
"Marjorie","Kilback","Antonia.Hauck@giuseppe.tv","Hobart and William Smith","Neuroscience"
"Ernest","Hoeger","Maritza_Mann@abelardo.tv","University of St. La Salle - Bacolod","Medicine"
"Rebecca","Hudson","Reynold_Ferry@bennett.us","Aberdeen, University of","LLB Law With European Law"
"Josefina","Hirthe","Augustine@cassie.tv","Abingdon and Witney College","Politics And Eastern European Studies With A Year Abroad"
"Wanda","Ebert","Amina.Farrell@charlie.net","University of Washington","Information Technology"
"Burnice","Denesik","Tyrese@don.ca","The Grimsby Institute of Further & Higher Education","Law LLB"
"Harold","Moen","Neil@merlin.name","UHI Millennium Institute","Biology"
"Brennon","Spencer","Alexandria@eva.io","XLRI, Jamshedpur","MSc Social Cognition"
"Stanley","Ziemann","Micaela@millie.info","Winthrop University","Accountancy & Business Law"
"Forest","Rempel","Chyna_Nolan@elody.org","Lebanese American University","Software Engineering"
"Gregory","Zboncak","Annamae_Runte@soledad.us","Universita degli Studi di Venezia","Human Resource Management And Organisational Analysis"
"Valentine","Weimann","Jeromy_Blick@katrine.biz","Ochanomizu Univ","BA, Hons Accounting And Finance"
"Alexandria","Waelchi","Everette_Torphy@halle.biz","Bradford, University of","Law LLB 2015"
"Florian","Altenwerth","Adelbert.Ryan@francisca.org","LUISS (Libera Universita Internazionale degli Studi Sociali)","Social Work"
"Faye","Zieme","Joannie.Brown@sigurd.co.uk","Abertay, University of","Mathematics/Statistics"
"Raleigh","Beatty","Alessandra_Hayes@jamal.biz","Mahidol University","Law With Politics LLB"
"Dolly","Kuhic","Sonny@golda.net","Universidad Ramon Llull","BSc Economics"
"Mikel","Koepp","Rosella@cruz.biz","University of Maine","BPTC"
"May","Pfannerstill","Dave@carlee.me","Birmingham, University of","(BA) English Literature And American Studies"
"Otho","Douglas","Walter@karley.biz","Indian Institute of Management, Indore","Physics"
"Napoleon","Conroy","Charley.Orn@frances.co.uk","Coastal Carolina University","BSc Computer Networks"
"Elza","Doyle","Isobel@simone.biz","Imperial College London","Product Design"
"Maci","Schulist","Reginald.Klein@keshawn.name","Villanova University","Process Design Engineering"
"Kyler","Hansen","Lorine@rebeka.com","Sauder School of Business","English Literature"
"Jean","Conn","Zackary.Dickinson@gonzalo.info","UAM University","LLM In International Commercial Law"
"Reilly","Yost","Herman@avis.me","Liverpool John Moores University","Arts/Entertainment/Media"
"Shad","Quigley","Roy@judah.com","ENSAE","Human Resource Management"
"Beatrice","Quitzon","Jana@herta.name","Trinity College Carmarthen","Philosophy, Politics And Economics"
"Lonny","Langworth","Sophia.Paucek@jamir.net","Chuo University","Medical/Health"
"Rosalinda","Kiehn","Gia@nestor.us","University of the Witwatersrand","Charity/Non Profit"
"Rebekah","Parker","Faustino@shane.us","Xidian University","Anthropology And Law"
"Rhoda","Kuhlman","Roel@kianna.net","University of KwaZulu Natal","Biological Sciences"
"Judd","Cruickshank","Bell@buddy.co.uk","Southampton, University of","Business Management"
"Sarah","Yundt","Marcia@noe.org","University of Science and Technology Beijing","Health Science"
"Russ","Pacocha","Shakira_Kessler@moriah.co.uk","Hobart and William Smith","Neuroscience"
"Kali","Purdy","Ignatius@madison.info","Padjadjaran University","BEng Mechanical Engineering"
"Janick","Block","Lamont@david.info","Chungang University","BA Modern Languages With Business Management"
"Ford","Waelchi","Marta.Grimes@malinda.org","Elmhurst College","Social Care"
"Francesca","Batz","Janie.Klocko@dallin.net","Dublin City University","Criminology And Social Policy"
